state,StateAbbreviation,StateFIPS,election,year,wave,OVERALLINTEGRITY,PEIIndexp,PEIIndexi,ratingstate,ratingcountry,LAWS,lawsunfair,lawsunfair2,favoredincumbent,favoredincumbent2,citizens,citizens2,laws,lawsi,PROCEDURES,managed,votinginfo,fairofficials,legalelections,procedures,proceduresi,BOUNDARIES,bdiscrim,bdiscrim2,bfavored,bfavored2,bimpartial,boundaries,boundariesi,VOTERREGISTRATION,reglisted,reglisted2,reginaccurate,reginaccurate2,ineligible,ineligible2,votereg,voteregi,PARTYREGISTRATION,oppprevent,oppprevent2,womenopp,minorityopp,leaderselect,leaderselect2,rallies,rallies2,partyreg,partyregi,MEDIACOVERAGE,newspapers,tv,tv2,fairaccess,faircoverage,socialmedia,media,mediai,CAMPAIGNFINANCE,subsidies,donations,accounts,rich,rich2,resources,resources2,finance,financei,VOTINGPROCESS,violence,violence2,fraudulent,fraudulent2,easy,choice,postal,disabled,expats,internet,voting,votingi,VOTECOUNT,secure,delay,faircount,intlmonitors,intlmonitors2,domesticmonitors,domesticmonitors2,count,counti,VOTINGRESULTS,challenged,challenged2,protestspeace,protestspeace2,protestsviolent,protestsviolent2,disputes,results,resultsi,ELECTIONAUTHORITIES,impartial,info,scrutiny,performance,EMBs,EMBsi,GENERALQUESTIONS,familiarity,important,ORGCONFIDENCE,courts,government,parliament,police,electoralauth,BACKGROUND,employment,public,university,nonprofit,agency,private,occupation,agegroup,sex,education,born,lived,rep,candidate,activist,official,monitor,monitorint,ngo,voted,norole,citizen,supported,leftrightscale,partyid,difficulty,VIGNETTES,vignetteA,vignetteB,vignetteC,EXTRA,rigged,rigged2,machinesaccurate,recordssecure,waited,waited2,multiple,multiple2,regrestrictive,regrestrictive2,obsintimidate,obsintimidate2,popularwill,timely,disinformation,disinformation2,hack,hack2,meddle,meddle2,countdispute,countdispute2,illegalvote,illegalvote2,legalcount,votersuppress,votersuppress2,design,candidatethreat,candidatethreat2,sufficient,audit,SUBFIELD,elections,ampol,statepol,comparative,inter,polcomm,theory,publicadmin,publicpol,methods,socio
Florida,FL,206,USA_06112018_L1,2018,2018,,,52.2193908691406,6,6,,4,2,5,1,4,2,16.6666660308838,16.6666660308838,,3,3,3,3,50,50,,4,2,4,2,2,25,25,,4,2,4,2,2,4,41.6666679382324,41.6666679382324,,2,4,3,3,4,2,2,4,55,55,,3,4,2,3,3,3,45,45,,3,2,2,4,2,4,2,30,30,,,,,,4,4,5,5,5,1,,77.65625,,4,4,4,,,,,,77.5,,5,1,4,2,1,5,5,56.25,56.25,,3,3,4,3,56.25,56.25,,8,4,,6,5,3,3,5,,1,0,1,0,0,0,6,2,1,5,0,3,0,0,0,0,0,0,0,1,0,1,1,2,7,7,,7,9,9,,2,4,4,4,4,2,1,5,4,2,3,3,3,4,4,2,3,3,2,4,4,2,2,4,4,4,2,2,3,3,2,4,,0,1,0,1,0,0,0,0,0,0,0
Florida,FL,206,USA_06112018_L1,2018,2018,,,50.9183692932129,7,5,,3,3,5,1,4,2,25,25,,2,4,,4,,63.75,,5,1,5,1,1,0,0,,,,,,2,4,,60.4166679382324,,,,,,2,4,,,,78.25,,3,3,3,,3,3,,56,,4,4,,4,2,3,3,,54.25,,2,4,4,2,4,3,4,,,1,,56.875,,3,2,1,,,,,,47.25,,5,1,3,3,1,5,4,56.25,56.25,,2,3,3,1,31.25,31.25,,6,4,,3,3,3,2,2,,1,1,1,0,0,0,6,3,1,5,0,4,0,0,0,0,0,0,0,1,0,1,1,4,6,4,,6,7,9,,2,4,3,,,,3,3,5,1,,,2,1,4,2,4,2,,,1,5,3,3,3,3,3,3,1,5,,5,,1,1,0,0,0,1,0,0,0,0,1
Florida,FL,206,USA_06112018_L1,2018,2018,,,54.3877563476562,7,8,,5,1,4,2,3,3,25,25,,2,4,3,4,56.25,56.25,,4,2,4,2,2,25,25,,,,2,4,1,5,,71.6666641235352,,2,4,3,2,2,4,2,4,60,60,,2,2,4,2,4,,,48.5,,2,2,2,3,3,,,,37.5,,2,4,2,4,3,4,,,,1,,65,,4,4,4,2,4,2,4,75,75,,5,1,4,2,1,5,5,56.25,56.25,,4,4,4,1,56.25,56.25,,10,1,,4,5,5,1,6,,1,0,1,0,0,0,6,3,1,5,0,4,0,0,0,0,0,0,0,1,0,1,3,2,8,9,,6,0,0,,2,4,4,4,1,5,1,5,5,1,5,1,2,4,3,3,3,3,3,3,5,1,1,5,5,3,3,1,2,4,4,4,,0,0,0,1,1,0,0,0,0,1,0
Florida,FL,206,USA_06112018_L1,2018,2018,,,53.4438781738281,5,2,,5,1,4,2,5,1,8.33333301544189,8.33333301544189,,2,4,2,4,50,50,,4,2,4,2,4,41.6666679382324,41.6666679382324,,4,2,4,2,2,4,41.6666679382324,41.6666679382324,,2,4,5,4,2,4,,,,83.5,,4,4,2,,2,3,,48.25,,,,,4,2,,,,47.25,,5,1,2,4,4,3,5,,4,,,59.0625,,4,2,4,,,,,,66.75,,5,1,4,2,2,4,5,50,50,,4,4,,2,,60.625,,9,1,,1,0,,7,5,,1,0,1,0,0,0,6,4,1,5,0,4,0,0,0,0,0,0,0,1,0,1,1,2,7,,,8,8,7,,2,4,4,4,5,1,2,4,4,2,4,2,2,2,2,4,2,4,2,4,5,1,2,4,2,5,1,4,3,3,2,5,,0,0,0,0,1,0,0,0,0,0,0
Florida,FL,206,USA_06112018_L1,2018,2018,,,60.1785697937012,7,8,,5,1,3,3,4,2,25,25,,2,4,2,5,56.25,56.25,,4,2,4,2,2,25,25,,,,2,4,,,,62.0833320617676,,,,4,4,2,4,,,,78.5,,4,2,4,,4,,,69,,,4,,3,3,2,4,,59,,2,4,,,4,4,5,,4,1,,69.53125,,4,5,4,,,2,4,,79.75,,5,1,4,2,1,5,5,56.25,56.25,,2,3,4,2,43.75,43.75,,8,1,,5,6,5,4,5,,1,0,1,1,0,1,6,2,1,5,1,4,0,0,0,0,0,0,0,1,0,1,1,4,5,8,,6,5,0,,2,4,5,,,,,,2,4,2,4,4,4,4,2,3,3,,,5,1,1,5,3,3,3,3,2,4,,5,,0,0,0,1,1,0,0,0,0,1,0
Florida,FL,206,USA_06112018_L1,2018,2018,,,63.4183692932129,8,8,,4,2,4,2,4,2,25,25,,4,4,4,4,75,75,,4,2,3,3,2,33.3333320617676,33.3333320617676,,3,3,2,4,2,4,66.6666641235352,66.6666641235352,,2,4,4,4,2,4,2,4,75,75,,4,2,4,4,4,4,75,75,,4,4,3,4,2,3,3,55,55,,2,4,2,4,4,4,4,4,4,,,66.5625,,4,4,4,2,4,2,4,75,75,,4,2,4,2,2,4,4,50,50,,4,4,4,4,75,75,,8,2,,7,7,7,7,7,,2,0,1,0,0,0,6,4,1,5,0,4,0,0,0,0,0,0,0,1,0,1,2,6,2,8,,3,0,4,,2,4,4,4,2,4,2,4,4,2,2,4,4,4,4,2,2,4,2,4,4,2,2,4,4,2,4,4,2,4,4,4,,1,0,0,1,1,0,0,0,0,0,0
Florida,FL,206,USA_06112018_L1,2018,2018,,,46.173469543457,4,4,,5,1,4,2,5,1,8.33333301544189,8.33333301544189,,2,3,3,4,50,50,,5,1,5,1,1,0,0,,3,3,3,3,3,3,50,50,,3,3,2,2,3,3,3,3,40,40,,4,,,2,4,,,56,,,2,2,4,2,,,,42,,,,,,2,4,4,,,1,,62.34375,,3,2,3,,,,,,54.75,,3,3,3,3,2,4,4,62.5,62.5,,2,4,3,2,43.75,43.75,,5,3,,7,3,2,2,3,,1,0,1,0,0,0,6,4,1,5,0,3,0,0,0,0,0,0,0,1,0,1,3,4,8,6,,6,9,5,,3,3,3,2,2,4,2,4,3,3,3,3,1,1,3,3,4,2,,,3,3,1,5,2,4,2,2,,,,2,,0,0,0,1,0,0,0,0,0,0,0
Florida,FL,206,USA_06112018_L1,2018,2018,,,41.2755088806152,3,7,,4,2,3,3,4,2,33.3333320617676,33.3333320617676,,1,2,3,4,37.5,37.5,,4,2,4,2,2,25,25,,,,,,,,,59.1666641235352,,3,3,4,4,2,4,2,4,70,70,,2,3,3,2,4,,,42.25,,2,1,1,4,2,4,2,15,15,,4,2,4,2,2,2,5,,5,2,,51.09375,,1,1,2,,,2,4,,35,,4,2,4,2,2,4,1,31.25,31.25,,2,4,2,3,43.75,43.75,,9,1,,2,0,0,3,3,,1,0,1,0,0,0,6,5,1,5,0,4,0,0,0,0,0,0,0,1,0,1,1,3,7,10,,9,5,1,,3,3,,2,4,2,,,4,2,3,3,2,1,,,,,,,5,1,2,4,1,2,4,1,,,4,4,,0,0,0,0,0,0,1,0,0,0,0
Florida,FL,206,USA_06112018_L1,2018,2018,,,65.4336700439453,8,8,,3,3,3,3,5,1,33.3333320617676,33.3333320617676,,4,5,5,5,93.75,93.75,,5,1,5,1,2,8.33333301544189,8.33333301544189,,,,,,,,,58.3333320617676,,2,4,4,5,2,4,1,5,85,85,,3,,,3,2,,,48.75,,4,4,4,1,5,,,,76,,,,,,5,3,5,5,5,1,,76.5625,,4,2,2,,,,,,54,,5,1,,,1,5,5,,68.75,,3,5,5,4,81.25,81.25,,10,4,,5,5,4,5,6,,1,0,1,0,0,0,6,4,2,5,0,3,0,0,0,0,0,0,0,1,0,1,1,3,7,2,,8,8,8,,2,4,5,2,,,1,5,4,2,,,3,3,4,2,,,,,2,4,,,4,3,3,4,,,,4,,1,1,0,0,0,0,0,0,1,1,0
Florida,FL,206,USA_06112018_L1,2018,2018,,,56.4540786743164,7,6,,4,2,5,1,4,2,16.6666660308838,16.6666660308838,,2,4,4,4,62.5,62.5,,5,1,5,1,1,0,0,,4,2,4,2,2,4,41.6666679382324,41.6666679382324,,2,4,4,4,2,4,1,5,80,80,,4,2,4,3,4,2,60,60,,,4,5,4,2,3,3,,59.75,,2,4,1,5,2,5,4,4,4,1,65.625,65.625,,4,4,2,,,1,5,,68.5,,4,2,4,2,1,5,4,56.25,56.25,,3,5,4,2,62.5,62.5,,10,4,,4,3,2,4,6,,1,0,1,0,0,0,6,5,2,5,0,4,0,0,0,0,0,0,0,1,0,1,1,3,7,9,,7,6,9,,4,2,5,5,4,2,1,5,5,1,,,2,4,4,2,,,,,4,2,1,5,1,2,4,2,1,5,4,4,,0,0,0,1,0,0,0,0,0,0,0
Florida,FL,206,USA_06112018_L1,2018,2018,,40.3061218261719,40.3061218261719,6,5,,1,5,2,4,1,5,91.6666641235352,91.6666641235352,,1,1,2,3,18.75,18.75,,4,2,3,3,3,41.6666679382324,41.6666679382324,,5,1,4,2,4,2,16.6666660308838,16.6666660308838,,1,5,5,5,2,4,3,3,85,85,,1,1,5,1,1,5,40,40,,1,4,4,2,4,3,3,55,55,,4,2,5,1,2,3,4,2,1,1,25,25,,2,1,1,3,3,4,2,20,20,,5,1,4,2,3,3,5,43.75,43.75,,2,1,2,2,18.75,18.75,,10,6,,4,3,4,7,3,,1,0,0,0,0,1,6,3,2,5,1,5,0,0,1,0,0,0,0,1,0,1,2,8,1,10,,4,1,1,,4,2,,2,5,1,5,1,2,4,5,1,2,2,5,1,5,1,,,5,1,5,1,2,5,1,1,4,2,,5,,1,0,1,0,0,1,0,1,1,0,1
Florida,FL,206,USA_06112018_L1,2018,2018,,50.5102043151855,50.5102043151855,6,8,,3,3,5,1,4,2,25,25,,2,2,3,2,31.25,31.25,,1,5,2,4,5,91.6666641235352,91.6666641235352,,5,1,3,3,1,5,50,50,,2,4,5,4,2,4,2,4,80,80,,4,2,4,4,4,4,75,75,,1,2,1,5,1,4,2,10,10,,2,4,2,4,1,5,4,4,5,1,62.5,62.5,,2,1,2,2,4,2,4,40,40,,5,1,5,1,2,4,3,31.25,31.25,,4,4,2,2,50,50,,6,1,,6,5,5,5,5,,1,0,1,0,0,0,6,3,1,5,0,4,0,0,0,0,0,0,0,1,0,1,1,4,6,9,,6,8,9,,2,4,4,3,4,2,1,5,4,2,4,2,2,4,4,2,3,3,2,4,5,1,2,4,5,5,1,3,1,5,,5,,1,1,0,0,0,0,0,0,0,0,0
Florida,FL,206,USA_06112018_L1,2018,2018,,,80.7908172607422,10,10,,4,2,1,5,1,5,75,75,,4,5,5,5,93.75,93.75,,3,3,3,3,3,50,50,,5,1,2,4,1,5,58.3333320617676,58.3333320617676,,1,5,3,3,1,5,1,5,80,80,,5,1,5,5,5,3,90,90,,1,5,5,3,3,2,4,65,65,,1,5,1,5,3,5,5,5,5,1,81.25,81.25,,5,4,5,,,1,5,,91.75,,2,4,2,4,1,5,5,87.5,87.5,,5,5,5,5,100,100,,8,4,,7,0,6,4,7,,1,0,1,0,0,0,6,4,2,5,0,4,0,0,0,0,0,0,1,0,0,1,1,1,7,8,,4,7,9,,1,5,4,5,2,4,1,5,1,5,1,5,3,5,2,4,5,1,2,4,2,4,1,5,5,1,5,2,3,3,4,5,,0,0,0,1,0,0,0,0,0,0,0
Florida,FL,206,USA_06112018_L1,2018,2018,,53.0612258911133,53.0612258911133,6,8,,4,2,4,2,4,2,25,25,,3,4,4,5,75,75,,4,2,3,3,3,41.6666679382324,41.6666679382324,,5,1,4,2,2,4,33.3333320617676,33.3333320617676,,2,4,4,4,2,4,2,4,75,75,,4,3,3,4,4,3,65,65,,3,4,2,4,2,4,2,40,40,,3,3,2,4,2,5,4,3,4,1,56.25,56.25,,3,2,4,2,4,2,4,60,60,,5,1,5,1,2,4,4,37.5,37.5,,2,2,4,4,50,50,,9,4,,5,3,2,5,5,,1,0,1,0,0,0,6,5,1,5,0,4,0,0,0,0,0,0,0,0,1,1,6,4,4,9,,8,1,8,,1,5,4,4,5,1,2,4,4,2,3,3,4,3,5,1,3,3,3,3,5,1,2,4,2,3,3,1,3,3,2,5,,0,0,0,1,0,0,0,0,0,0,0
Florida,FL,206,USA_06112018_L1,2018,2018,,58.1632652282715,58.1632652282715,9,7,,3,3,4,2,4,2,33.3333320617676,33.3333320617676,,4,4,3,4,68.75,68.75,,5,1,5,1,2,8.33333301544189,8.33333301544189,,3,3,3,3,3,3,50,50,,2,4,5,5,2,4,1,5,90,90,,4,3,3,5,5,3,75,75,,3,2,4,4,2,4,2,40,40,,2,4,2,4,4,4,4,4,3,2,65.625,65.625,,4,3,4,2,4,2,4,70,70,,4,2,4,2,2,4,4,50,50,,2,4,3,3,50,50,,8,2,,8,7,4,5,6,,1,0,1,0,0,0,6,6,1,5,0,4,0,0,0,0,0,0,0,1,0,1,1,2,7,9,,6,4,8,,2,4,4,,3,3,2,4,3,3,,,5,4,4,2,2,4,3,3,4,2,1,5,4,4,2,4,2,4,3,5,,0,1,0,0,0,0,0,1,1,0,0
Georgia,GA,207,USA_06112018_L1,2018,2018,,,53.0867347717285,5,8,,3,3,5,1,4,2,25,25,,2,2,1,3,25,25,,5,1,5,1,1,0,0,,4,2,4,2,2,4,41.6666679382324,41.6666679382324,,1,5,4,4,1,5,1,5,90,90,,,1,5,5,5,,,81.75,,3,5,1,4,2,1,5,55,55,,1,5,1,5,1,5,3,4,4,1,62.5,62.5,,4,4,3,,,,,,68.5,,2,4,4,2,1,5,4,68.75,68.75,,1,3,1,1,12.5,12.5,,10,4,,7,1,1,4,1,,1,0,1,0,0,0,6,4,1,5,0,4,0,0,0,0,0,0,0,1,0,1,1,4,7,,,6,7,7,,2,4,3,2,4,2,1,5,5,1,2,4,3,4,4,2,4,2,,,4,2,2,4,3,5,1,3,2,4,,1,,0,0,0,1,0,0,0,0,0,0,0
Georgia,GA,207,USA_06112018_L1,2018,2018,,,45.5102043151855,3,6,,3,3,5,1,5,1,16.6666660308838,16.6666660308838,,2,4,2,3,43.75,43.75,,3,3,4,2,3,41.6666679382324,41.6666679382324,,5,1,5,1,1,5,33.3333320617676,33.3333320617676,,2,4,3,3,4,2,,,,56,,3,3,3,3,3,3,50,50,,3,3,3,3,3,5,1,40,40,,2,4,2,4,2,3,4,4,4,1,56.25,56.25,,2,1,2,3,3,3,3,30,30,,5,1,4,2,2,4,4,43.75,43.75,,3,4,4,4,68.75,68.75,,10,1,,6,4,4,6,4,,1,0,1,0,0,0,6,5,2,5,0,4,0,0,0,0,0,0,0,1,0,1,1,4,7,10,,9,5,9,,,,2,2,5,1,1,5,4,2,1,5,2,2,3,3,5,1,4,2,4,2,2,4,4,5,1,4,1,5,4,4,,1,0,1,1,0,1,0,0,0,1,0
Georgia,GA,207,USA_06112018_L1,2018,2018,,,59.0306091308594,7,8,,3,3,4,2,4,2,33.3333320617676,33.3333320617676,,3,4,3,4,62.5,62.5,,4,2,4,2,3,33.3333320617676,33.3333320617676,,4,2,4,2,,,,41.25,,,,4,4,,,,,,79.5,,3,2,4,4,3,,,56.75,,,,4,2,4,,,,66,,4,2,4,2,3,4,4,4,4,4,59.375,59.375,,4,4,4,,,,,,75.75,,4,2,4,2,2,4,4,50,50,,3,4,,3,,63.4375,,8,4,,6,6,6,6,6,,1,0,1,0,0,0,6,3,1,5,0,4,0,0,0,0,0,0,0,1,0,1,1,4,5,4,,1,5,9,,2,4,4,4,4,2,2,4,4,2,2,4,4,4,4,2,4,2,2,4,4,2,3,3,3,3,3,4,4,2,3,4,,1,1,0,0,0,0,0,0,0,0,0
Georgia,GA,207,USA_06112018_L1,2018,2018,,,37.2193870544434,5,6,,4,2,5,1,4,2,16.6666660308838,16.6666660308838,,1,1,1,2,6.25,6.25,,4,2,4,2,2,25,25,,5,1,5,1,1,5,33.3333320617676,33.3333320617676,,4,2,2,2,5,1,4,2,20,20,,4,4,2,4,4,5,70,70,,2,2,2,4,2,4,2,25,25,,2,4,1,5,2,5,4,4,4,1,65.625,65.625,,4,2,2,,,,,,54.75,,4,2,4,2,1,5,2,43.75,43.75,,1,2,1,1,6.25,6.25,,8,3,,7,6,4,4,3,,1,0,1,0,0,0,6,4,1,5,0,4,0,0,0,0,0,0,0,1,0,1,1,7,5,9,,9,2,1,,2,4,4,4,5,1,1,5,4,2,4,2,1,2,5,1,4,2,2,4,5,1,1,5,2,5,1,5,1,5,,,,0,1,0,0,1,0,0,0,1,0,0
Georgia,GA,207,USA_06112018_L1,2018,2018,,,44.9489822387695,3,8,,4,2,4,2,2,4,41.6666679382324,41.6666679382324,,2,2,2,3,31.25,31.25,,5,1,5,1,2,8.33333301544189,8.33333301544189,,5,1,5,1,,,,25.4166679382324,,3,3,4,4,2,4,2,4,70,70,,4,2,4,4,4,,,67.25,,2,4,2,2,4,,,,50.25,,4,2,,,2,4,4,4,4,2,,56.40625,,2,2,2,,,,,,42.5,,4,2,4,2,2,4,4,50,50,,1,2,2,1,12.5,12.5,,8,1,,2,3,2,5,1,,1,1,1,1,0,1,5,3,1,5,0,3,0,0,0,0,0,0,1,1,0,1,1,1,7,9,,8,9,7,,4,2,,2,5,1,,,4,2,4,2,2,2,4,2,4,2,,,4,2,,,2,5,1,,4,2,,4,,1,1,1,0,1,1,0,0,0,1,1
Georgia,GA,207,USA_06112018_L1,2018,2018,,,34.7959175109863,2,4,,,,5,1,5,1,,10,,1,2,1,1,6.25,6.25,,4,2,4,2,2,25,25,,5,1,5,1,2,4,25,25,,2,4,4,4,2,4,2,4,75,75,,3,4,2,3,3,4,50,50,,3,3,2,3,3,5,1,35,35,,4,2,2,4,1,5,4,3,4,1,50,50,,2,2,2,4,2,4,2,25,25,,5,1,5,1,2,4,4,37.5,37.5,,1,2,1,1,6.25,6.25,,,4,,6,0,0,3,0,,1,0,1,0,0,0,6,3,2,5,0,4,0,0,0,0,0,0,0,1,0,1,1,3,7,10,,7,2,9,,4,2,4,2,5,1,1,5,5,1,5,1,1,2,4,2,4,2,3,3,5,1,1,5,1,5,1,4,3,3,1,5,,0,0,0,1,1,0,0,0,0,0,0
Georgia,GA,207,USA_06112018_L1,2018,2018,,51.5306129455566,51.5306129455566,7,9,,3,3,4,2,4,2,33.3333320617676,33.3333320617676,,3,3,3,4,56.25,56.25,,4,2,3,3,2,33.3333320617676,33.3333320617676,,3,3,3,3,3,3,50,50,,3,3,3,3,3,3,3,3,50,50,,3,3,3,3,4,3,55,55,,3,3,3,3,3,3,3,50,50,,2,4,2,4,4,4,4,3,3,2,62.5,62.5,,3,4,3,3,3,3,3,55,55,,4,2,4,2,2,4,4,50,50,,3,3,3,3,50,50,,7,1,,7,7,6,6,6,,1,0,1,0,0,0,6,4,1,5,0,4,0,0,0,0,0,0,0,1,0,1,1,5,5,7,,7,4,8,,3,3,3,3,5,1,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,2,2,4,3,4,2,3,2,4,3,3,,0,1,0,0,0,0,0,0,0,0,0
Georgia,GA,207,USA_06112018_L1,2018,2018,,,54.1581611633301,4,7,,4,2,4,2,4,2,25,25,,2,4,2,4,50,50,,5,1,5,1,1,0,0,,5,1,5,1,2,4,25,25,,2,4,4,4,2,4,1,5,80,80,,4,2,4,4,4,4,75,75,,,2,4,2,4,2,4,,60.75,,2,4,2,4,3,4,4,4,4,2,65.625,65.625,,4,4,4,4,2,2,4,65,65,,4,2,2,4,1,5,4,68.75,68.75,,2,2,2,2,25,25,,10,4,,7,5,3,7,3,,1,0,1,1,0,0,6,5,2,5,0,4,0,0,0,0,0,0,1,1,0,1,1,3,7,8,,5,5,6,,2,4,,,5,1,2,4,4,2,2,4,3,4,,,4,2,3,3,2,4,1,5,2,,,4,2,4,2,3,,1,0,1,1,0,0,0,0,0,0,0
Georgia,GA,207,USA_06112018_L1,2018,2018,,,45.7908172607422,3,7,,,,5,1,5,1,,5.83333396911621,,2,2,2,2,25,25,,5,1,5,1,1,0,0,,5,1,5,1,1,5,33.3333320617676,33.3333320617676,,,,2,2,2,4,2,4,,52.75,,4,,,4,4,,,65.25,,,2,2,4,2,,,,37.75,,2,4,1,5,2,5,4,,4,2,,69.375,,,4,4,,,,,,73.5,,5,1,2,4,1,5,4,62.5,62.5,,1,2,2,2,18.75,18.75,,7,4,,5,2,2,2,2,,1,0,1,0,0,0,6,4,2,5,0,4,0,0,0,0,0,0,0,1,0,1,1,2,7,9,,6,8,8,,2,4,,,4,2,2,4,5,1,,,2,4,,,5,1,,,2,4,1,5,4,4,2,,,,1,,,0,1,1,0,0,0,0,0,0,1,0
Georgia,GA,207,USA_06112018_L1,2018,2018,,,49.0051040649414,6,8,,4,2,4,2,4,2,25,25,,3,2,3,3,43.75,43.75,,5,1,4,2,2,16.6666660308838,16.6666660308838,,4,2,,,,,,52.5,,,,3,3,3,3,,,,61.75,,3,3,3,3,3,4,55,55,,,,,4,2,,,,47.25,,,,,,2,3,4,,,1,,57.8125,,3,3,,,,,,,63.5,,4,2,4,2,,,3,,48.4375,,1,3,3,3,37.5,37.5,,8,5,,8,6,5,7,6,,1,0,1,0,0,0,6,4,1,5,0,4,0,0,0,0,0,0,0,1,0,1,1,2,7,9,,4,4,9,,2,4,2,3,4,2,2,4,5,1,,,3,3,4,2,,,,,4,2,2,4,2,3,3,,,,,,,1,1,0,0,0,0,0,0,0,0,0
Georgia,GA,207,USA_06112018_L1,2018,2018,,,54.7448997497559,7,9,,5,1,5,1,4,2,8.33333301544189,8.33333301544189,,3,4,3,4,62.5,62.5,,4,2,5,1,1,8.33333301544189,8.33333301544189,,4,2,4,2,2,4,41.6666679382324,41.6666679382324,,2,4,4,4,2,4,1,5,80,80,,2,4,2,4,3,4,50,50,,,2,2,3,3,,,,42.5,,1,5,3,3,2,3,5,5,5,2,68.75,68.75,,3,4,4,,,2,4,,69,,4,2,2,4,1,5,4,68.75,68.75,,2,4,4,3,56.25,56.25,,8,1,,6,6,5,5,5,,1,0,1,0,0,0,6,5,1,5,0,4,0,0,0,0,0,0,0,1,0,1,3,5,8,10,,4,7,8,,2,4,4,3,4,2,2,4,2,4,1,5,3,4,4,2,4,2,4,2,4,2,2,4,3,4,2,4,1,5,3,4,,1,0,0,1,1,1,0,0,0,0,0
Georgia,GA,207,USA_06112018_L1,2018,2018,,,72.5510177612305,4,7,,4,2,2,4,2,4,58.3333320617676,58.3333320617676,,1,5,4,5,68.75,68.75,,4,2,4,2,2,25,25,,5,1,4,2,,,,27.9166660308838,,1,5,5,5,1,5,1,5,100,100,,5,1,5,5,5,,,90,,,5,4,2,4,2,4,,79.25,,1,5,,,4,5,5,5,5,1,,81.25,,4,4,5,1,5,1,5,90,90,,4,2,4,2,1,5,5,62.5,62.5,,2,5,5,2,62.5,62.5,,9,4,,9,6,7,7,2,,1,0,0,0,0,0,6,3,1,5,0,3,0,0,0,0,0,0,0,1,0,1,2,6,3,9,,3,5,9,,1,5,4,4,4,2,1,5,4,2,1,5,5,5,4,2,5,1,1,5,4,2,1,5,5,2,4,4,1,5,,4,,1,1,1,1,0,0,0,0,1,1,0
Georgia,GA,207,USA_06112018_L1,2018,2018,,,47.9081611633301,3,7,,5,1,5,1,5,1,0,0,,1,2,2,4,31.25,31.25,,,,4,2,2,,22.5,,5,1,2,4,1,5,58.3333320617676,58.3333320617676,,2,4,3,3,2,4,1,5,70,70,,3,3,3,4,3,,,53.75,,,5,4,2,4,2,4,,74.25,,2,4,2,4,2,4,4,,,,,61.5625,,4,4,3,,,4,2,,59.5,,5,1,5,1,2,4,3,31.25,31.25,,1,1,4,1,18.75,18.75,,9,1,,5,2,,3,0,,3,1,1,0,0,0,6,6,1,5,1,4,0,0,0,0,0,0,0,1,0,1,1,2,7,9,,7,8,8,,4,2,1,2,5,1,1,5,4,2,3,3,2,3,5,1,5,1,,,5,1,1,5,2,1,5,3,2,4,,1,,0,1,1,1,0,0,0,1,1,1,0
Georgia,GA,207,USA_06112018_L1,2018,2018,,,33.7755088806152,4,7,,4,2,5,1,4,2,16.6666660308838,16.6666660308838,,1,2,1,2,12.5,12.5,,4,2,5,1,1,8.33333301544189,8.33333301544189,,5,1,5,1,2,4,25,25,,,,2,2,2,4,2,4,,56,,2,2,4,2,4,4,55,55,,1,1,2,3,3,4,2,20,20,,4,2,2,4,1,4,4,4,4,1,50,50,,2,2,2,2,4,2,4,45,45,,5,1,5,1,2,4,1,18.75,18.75,,1,4,2,1,25,25,,8,1,,4,3,2,2,2,,1,0,1,0,0,0,6,2,1,5,0,3,0,0,0,0,0,0,0,1,0,1,1,2,7,8,,4,6,8,,2,4,4,2,5,1,1,5,4,2,2,4,2,2,4,2,4,2,2,4,4,2,1,5,2,5,1,2,4,2,2,2,,0,0,0,1,1,0,0,0,0,1,0
Hawai'i,HI,208,USA_06112018_L1,2018,2018,,61.7346954345703,61.7346954345703,8,6,,3,3,5,1,2,4,41.6666679382324,41.6666679382324,,4,3,4,4,68.75,68.75,,4,2,4,2,3,33.3333320617676,33.3333320617676,,4,2,2,4,2,4,58.3333320617676,58.3333320617676,,2,4,5,5,3,3,2,4,80,80,,4,4,2,4,4,3,60,60,,2,1,2,3,3,2,4,35,35,,2,4,2,4,4,3,4,4,4,2,65.625,65.625,,4,4,4,2,4,2,4,75,75,,4,2,2,4,1,5,4,68.75,68.75,,4,4,4,4,75,75,,10,1,,8,5,5,5,5,,1,0,1,0,0,0,6,2,1,5,0,3,0,0,0,0,0,0,0,1,0,1,1,2,7,9,,4,7,9,,2,4,4,4,2,4,1,5,1,5,1,5,4,5,3,3,4,2,1,5,3,3,1,5,4,1,5,4,1,5,4,2,,1,1,1,0,0,0,0,0,0,0,0
